lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd,midpoint,norm_position,sold_over_mid,log_sold_over_mid
201,Alexander Calder,Untitled,600000,800000,1216000,700000.0,3.08,1.7371,0.5522
202,Andy Warhol,Flowers [Six Works],1200000,1800000,2232000,1500000.0,1.72,1.488,0.3974
203,Wayne Thiebaud,Club Sandwich,300000,500000,409600,400000.0,0.548,1.024,0.0237
204,Frank Stella,Les Indes Galantes,150000,200000,345600,175000.0,3.912,1.9749,0.6805
205,Alexander Calder,Untitled,300000,400000,512000,350000.0,2.12,1.4629,0.3804
206,John Chamberlain,Untitled,80000,120000,140800,100000.0,1.52,1.408,0.3422
207,Ed Ruscha,Pressures,300000,500000,576000,400000.0,1.38,1.44,0.3646
208,Robert Ryman,Assign,800000,1200000,832000,1000000.0,0.08,0.832,-0.1839
209,Andy Warhol,Mao,800000,1200000,1216000,1000000.0,1.04,1.216,0.1956
210,Roy Lichtenstein,Varoom (Study),100000,150000,186000,125000.0,1.72,1.488,0.3974
211,Claes Oldenburg and Coosje van Bruggen,"Silent Metronome, 16 inch, Version Two",40000,60000,53760,50000.0,0.688,1.0752,0.0725
212,Gerhard Richter,Snow White 28.12.2005,40000,60000,96000,50000.0,2.8,1.92,0.6523
213,Mark Grotjahn,Untitled (Colored Butterfly White Background Six Wings),100000,150000,192000,125000.0,1.84,1.536,0.4292
214,Cy Twombly,Untitled,300000,500000,307200,400000.0,0.036,0.768,-0.264
215,Anne Truitt,Summer '97 No. 6,40000,60000,44800,50000.0,0.24,0.896,-0.1098
216,Damien Hirst,Capric Anhydride,100000,150000,115200,125000.0,0.304,0.9216,-0.0816
217,Sol LeWitt,Untitled,70000,100000,121600,85000.0,1.72,1.4306,0.3581
218,Bernar Venet,Indeterminate Line,30000,40000,70400,35000.0,4.04,2.0114,0.6988
219,Gary Hume,Bloom,15000,25000,35840,20000.0,2.084,1.792,0.5833
220,Tony Smith,Untitled,20000,30000,15360,25000.0,-0.464,0.6144,-0.4871
221,Candida Höfer,Trinity College Library Dublin VII,15000,20000,21760,17500.0,1.352,1.2434,0.2179
222,Robert Mangold,Column Study,20000,30000,21760,25000.0,0.176,0.8704,-0.1388
223,Richard Diebenkorn,"Large Light Blue, from Eight Color Etchings",60000,80000,128000,70000.0,3.4,1.8286,0.6035
301,Alex Katz,One Blue Flag,30000,40000,115200,35000.0,8.52,3.2914,1.1913
302,Alma Thomas,Untitled,40000,60000,204800,50000.0,8.24,4.096,1.41
303,Alma Thomas,Untitled,60000,80000,153600,70000.0,4.68,2.1943,0.7859
304,Alma Thomas,Untitled,600000,800000,1792000,700000.0,5.96,2.56,0.94
305,Alma Thomas,Atmospheric Effect No. 6,80000,120000,268800,100000.0,4.72,2.688,0.9888
306,Joan Mitchell,Tilleul,250000,350000,281600,300000.0,0.316,0.9387,-0.0633
308,Helen Frankenthaler,St. John,1500000,2000000,2108500,1750000.0,1.217,1.2049,0.1864
309,Grace Hartigan,Untitled,70000,100000,217600,85000.0,4.92,2.56,0.94
310,Lee Bontecou,Untitled,300000,500000,694000,400000.0,1.97,1.735,0.551
311,Agnes Martin,Untitled,60000,80000,70400,70000.0,0.52,1.0057,0.0057
312,Joseph Cornell,Villa Violetta #1 (La Bella del Parmigianino),50000,70000,64000,60000.0,0.7,1.0667,0.0645
313,Cindy Sherman,Untitled Film Still #16,80000,120000,179200,100000.0,2.48,1.792,0.5833
314,Sylvia Sleigh,Persephone: Jane Henry,80000,120000,96000,100000.0,0.4,0.96,-0.0408
315,Antonio López García,El Cuarto de Baño,200000,300000,1984000,250000.0,17.84,7.936,2.0714
316,Alexander Calder,Untitled,700000,1000000,2048000,850000.0,4.4933,2.4094,0.8794
317,Helen Frankenthaler,Perseus,1800000,2500000,2804000,2150000.0,1.4343,1.3042,0.2656
318,Mark Rothko,The Journey,300000,400000,1024000,350000.0,7.24,2.9257,1.0735
319,Morris Louis,Gamma,1200000,1800000,1280000,1500000.0,0.1333,0.8533,-0.1586
320,Josef Albers,Study for a Homage to the Square,80000,120000,179200,100000.0,2.48,1.792,0.5833
322,Richard Diebenkorn,Untitled,250000,350000,320000,300000.0,0.7,1.0667,0.0645
324,Alexander Calder,Six Red Polygons,800000,1200000,2048000,1000000.0,3.12,2.048,0.7169
325,Roy Lichtenstein,Girl in Mirror,5000000,7000000,6220000,6000000.0,0.61,1.0367,0.036
326,Alex Katz,Boquerón,800000,1200000,1216000,1000000.0,1.04,1.216,0.1956
