lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd
201,Alexander Calder,Untitled,600000,800000,1216000
202,Andy Warhol,Flowers [Six Works],1200000,1800000,2232000
203,Wayne Thiebaud,Club Sandwich,300000,500000,409600
204,Frank Stella,Les Indes Galantes,150000,200000,345600
205,Alexander Calder,Untitled,300000,400000,512000
206,John Chamberlain,Untitled,80000,120000,140800
207,Ed Ruscha,Pressures,300000,500000,576000
208,Robert Ryman,Assign,800000,1200000,832000
209,Andy Warhol,Mao,800000,1200000,1216000
210,Roy Lichtenstein,Varoom (Study),100000,150000,186000
211,Claes Oldenburg and Coosje van Bruggen,"Silent Metronome, 16 inch, Version Two",40000,60000,53760
212,Gerhard Richter,Snow White 28.12.2005,40000,60000,96000
213,Mark Grotjahn,Untitled (Colored Butterfly White Background Six Wings),100000,150000,192000
214,Cy Twombly,Untitled,300000,500000,307200
215,Anne Truitt,Summer '97 No. 6,40000,60000,44800
216,Damien Hirst,Capric Anhydride,100000,150000,115200
217,Sol LeWitt,Untitled,70000,100000,121600
218,Bernar Venet,Indeterminate Line,30000,40000,70400
219,Gary Hume,Bloom,15000,25000,35840
220,Tony Smith,Untitled,20000,30000,15360
221,Candida Höfer,Trinity College Library Dublin VII,15000,20000,21760
222,Robert Mangold,Column Study,20000,30000,21760
223,Richard Diebenkorn,"Large Light Blue, from Eight Color Etchings",60000,80000,128000
301,Alex Katz,One Blue Flag,30000,40000,115200
302,Alma Thomas,Untitled,40000,60000,204800
303,Alma Thomas,Untitled,60000,80000,153600
304,Alma Thomas,Untitled,600000,800000,1792000
305,Alma Thomas,Atmospheric Effect No. 6,80000,120000,268800
306,Joan Mitchell,Tilleul,250000,350000,281600
308,Helen Frankenthaler,St. John,1500000,2000000,2108500
309,Grace Hartigan,Untitled,70000,100000,217600
310,Lee Bontecou,Untitled,300000,500000,694000
311,Agnes Martin,Untitled,60000,80000,70400
312,Joseph Cornell,Villa Violetta #1 (La Bella del Parmigianino),50000,70000,64000
313,Cindy Sherman,Untitled Film Still #16,80000,120000,179200
314,Sylvia Sleigh,Persephone: Jane Henry,80000,120000,96000
315,Antonio López García,El Cuarto de Baño,200000,300000,1984000
316,Alexander Calder,Untitled,700000,1000000,2048000
317,Helen Frankenthaler,Perseus,1800000,2500000,2804000
318,Mark Rothko,The Journey,300000,400000,1024000
319,Morris Louis,Gamma,1200000,1800000,1280000
320,Josef Albers,Study for a Homage to the Square,80000,120000,179200
322,Richard Diebenkorn,Untitled,250000,350000,320000
323,Richard Diebenkorn,Untitled,400000,600000,Bidding is closed
324,Alexander Calder,Six Red Polygons,800000,1200000,2048000
325,Roy Lichtenstein,Girl in Mirror,5000000,7000000,6220000
326,Alex Katz,Boquerón,800000,1200000,1216000
327,Louise Nevelson,Dawn's Landscape Zag XIII,400000,600000,576000
328,Alexander Calder,The Needle,400000,600000,704000
329,Roy Lichtenstein,Reflections: Half Face with Collar (Study),150000,200000,248000
